Content,HasAnswer,Answer
Qual é a profissão do Homem Aranha?,1,Desenvolvedor Web
Qual é o estado dos EUA que te eletrifica?,1,Ohio
Por que o monge foi ao hospital?,1,Porque ele é paciente
Qual o time mais quente de todos?,1,Bota-fogo
Por que o cachorro ia pra escola todos os dias?,1,Porque ele tinha auaula
Qual o produto tensoativo que sabe de tudo?,1,Sabão
Quem é o rei dos produtos de espantar insetos?,1,É o Rei-pelente
Por que o magrelo tem que tomar banho com os braços abertos?,1,Para não ser engolido pelo ralo
Qual o ator que livra as pessoas das dores?,1,Malvino Salva-dor
"Por que as vogais A, E, I e O foram rejeitadas pela banda Scorpions?",1,Porque eles Still Love U
Qual a carne que é cheia de panos?,1,Frango Empanado
Por que o Papai Noel não tem assadura?,1,Porque seu saco já é vermelho
Qual é a bebida que corre?,1,Rum
Você está em uma estrada e vê vários postos um perto do outro. Por que isso acontece?,1,Porque os-postos se atraem
Qual animal não gosta do amanhã?,1,Rinocer-ontem
O que acontece se um panda tiver vários filhotes?,1,Vira uma pandemia
Qual a fruta predileta da cigana?,1,O Li Mão
Qual é o tipo de música favorito dos mortos?,1,R.I.P-Hop.
O que é que tem no meio do ovo?,1,A gema
Por que a loira entrou com muitos espelhos na faculdade de engenharia?,1,Porque ela é engenheira se-viu
Qual é a cantora que não se adapta ao meio urbano?,1,Vanessa da Mata
Qual é o super-herói que toma chá e depois dá um salto pequeno?,1,Chá-pulin
Qual é a ave que está sempre enrijecida?,1,An-durinha
Qual é a ave que serve de automóvel para um parasita aracnídeo?,1,Carro-a-pato
Porque o principal narrador esportivo da Globo adora narrar jogos da Argentina?,1,Porque é Galvão Buenos-Aires
Que tipo de negócio abriram os ursos da China?,1,Uma pandaria
Qual o filósofo favorito do cavalo?,1,Trotsky
Qual é a ferramenta que sempre aponta onde as pessoas e coisas estão?,1,Ali-cate
O que o leitão foi fazer na loja de parafusos?,1,Foi procurar a porca
"O que o boi respondeu para a vaca, quando ela o perguntou se ele gostava bastante dela?",1,Muuuuuuuuuuuuito!
Como se chama o campeonato de anedotas?,1,Olim-piadas
Qual a reação de um mecânico depois de contarem uma piada sem graça para ele?,1,Dizer que não achou graxa nenhuma
Qual o tipo de violência que o super-herói do martelo não admite?,1,A Thortura
Qual a doença do sacristão?,1,Sinus-ite
Por que temos vacas e bois próximos ao nosso estômago?,1,Porque temos o intestino deu-gado
Qual o tipo de pessoa o Papai Noel gosta?,1,De puxa-saco
Qual é o ramo da medicina que faz uma ligação para a irmã de sua mãe?,1,Alopatia
O que acontece se um panda tiver vários filhos?,1,Ele vira um pandeiro
Quando é que o Renato Aragão acorda?,1,Didi-a
"O que é que, quando o pai nasce a filha já esta andando?",1,Fumaça
Qual é o time mais odiado pelo os bombeiros?,1,Botafogo
O que você deve fazer quando estiver triste?,1,"Abraçar o sapato, porque o sapato com-sola"
Qual o carro em que o Cebolinha manda as pessoas pararem?,1,Ô-Pala
Você sabe qual é a comida preferida do topógrafo?,1,Frângulo
Como se fala bombeiro em japonês?,1,Takágua Naxama
Qual a rede social que os mineiros mais usam?,1,Uaitsapp
Qual é o nome da pedra falante?,1,"Sei lá, pergunta pra ela, ela fala!"
Qual é a massa do caderno?,1,A massa folhada
"Três mulheres estavam com picolés nas mãos. Uma estava chupando o picolé, outra estava mordendo o picolé e outra estava lambendo o picolé. Qual delas era a casada?",1,A que estava com anel no dedo
Qual o banco em que uma letra se transforma em outra letra?,1,É o I-tá-U
Qual a fruta que é parente da porta?,1,É a Maçã-Neta
Qual é a peça de roupa preferido do Thor?,1,PaleThor
Qual a cantora que é o primeiro alce do mundo?,1,Alce-One
Um bêbado estava na rua quando chegou um carro e buzinou. O que o bêbado respondeu?,1,Eu também bibi
Qual a diferença entre a cachaça e a mulher?,1,A cachaça dá dor de cabeça só um dia
Por que o português jogou o arroz inteiro do pacote dentro do pote de açúcar?,1,Para comer arroz doce
Por que os lustres não prestam atenção para escuridão?,1,Porque eles tem focos luminosos
"O que é um cachorro afinado, que entende de música?",1,É um cãotor
O que é um objeto cortante em poder de um cachorro?,1,Um cão-nivete
"Por que o maior dramaturgo de língua inglesa é considerado um cavalheiro quando tenta ir ao banheiro, mas está ocupado?",1,"Porque quando ele bate e respondem que tem gente, ele diz em seguida: Shake-espera"
