Value,Sentiment
-1,-1
〰,0
;),1
:-,1
:-#,1
:'(,-1
:(,-1
:),1
:)),1
:/,-1
:>,1
:|,-1
:$,1
:ar!,1
:d,1
:o,1
:p,1
:s,-1
:x,1
‼,0
⁉,0
.(.,-1
.).,-1
.|.,-1
.i.,-1
.l.,-1
(:|,-1
({),1
(}),1
(*),0
(^),1
-6,-1
(b),1
(c),1
(d),0
(f),1
(g),1
(k),1
(l),1
(n),-1
(ninja),0
(pi),1
(pl),0
(u),-1
(w),-1
(y),1
*⃣,0
#⃣,0
〽,0
©,0
®,0
↔,0
↕,0
↖,0
↗,0
↘,0
↙,0
↩,0
↪,0
1,1
#NAME?,-1
<:o),1
|-),-1
⌚,0
⌛,0
⌨,0
⏩,0
⏪,1
⏫,0
⏬,1
⏭,0
⏮,0
⏯,0
⏰,1
⏱,0
⏲,0
⏳,0
⏸,0
⏹,0
⏺,0
▪,0
▫,0
▶,0
◀,0
◻,0
◼,0
◽,0
◾,0
☀,0
☁,0
☂,0
☃,0
☄,0
☎,0
☑,0
☔,0
☕,0
☘,0
☝,0
☠,-1
☢,0
☣,0
☦,0
☪,0
☮,0
☯,0
☸,0
☹,-1
☺,0
♈,0
♉,0
♊,0
♋,0
♌,0
♍,0
♎,0
♏,0
♐,0
♑,0
♒,0
♓,0
♠,0
♣,0
♥,0
♦,0
♨,0
♻,0
♿,0
⚒,0
⚔,0
⚖,0
⚗,0
⚙,0
⚛,0
⚜,0
⚠,0
⚡,0
⚪,0
⚫,0
⚰,0
⚱,0
⚽,1
⚾,0
⛄,0
⛅,0
⛈,0
⛎,0
⛏,0
⛑,0
⛓,0
⛔,0
⛳,0
⛷,0
⛸,0
⛹,0
⛹‍♀,0
✂,0
✅,1
✉,0
✊,1
✋,0
✌,0
✍,0
✏,0
✒,0
✔,0
✖,0
✝,0
✡,0
✨,1
✳,0
✴,0
❄,0
❇,0
❌,1
❎,-1
❓,0
❔,0
❕,1
❗,0
❣,0
❤,0
➕,1
➖,-1
➗,-1
➡,0
➰,-1
➿,0
⤴,0
⤵,0
⬅,0
⬆,0
⬇,0
⬛,0
⬜,0
⭐,0
⭕,0
🀄,0
🃏,0
🌀,0
🌂,1
🌈,1
🌊,1
🌍,1
🌎,1
🌏,1
🌐,1
🌑,1
🌒,1
🌓,1
🌔,1
🌕,1
🌖,1
🌗,1
🌘,1
🌙,1
🌚,1
🌛,1
🌜,1
🌝,1
🌞,1
🌟,1
🌡,0
🌤,0
🌥,0
🌦,0
🌧,0
🌨,0
🌩,0
🌪,0
🌫,0
🌬,0
🌭,0
🌮,0
🌯,0
🌰,1
🌱,1
🌲,1
🌳,1
🌴,1
🌵,1
🌶,0
🌷,1
🌸,1
🌹,1
🌺,1
🌻,1
🌼,1
🌽,1
🌾,1
🌿,1
🍀,1
🍁,1
🍂,1
🍃,1
🍄,0
🍅,1
🍆,1
🍇,1
🍈,-1
🍉,1
🍊,1
🍋,1
🍌,1
🍍,1
🍎,1
🍏,0
🍐,0
🍑,1
🍒,1
🍓,1
🍔,1
🍕,1
🍖,0
🍗,0
🍘,1
🍙,1
🍚,1
🍛,0
🍜,1
🍝,0
🍞,0
🍟,1
🍠,0
🍡,-1
🍢,-1
🍣,-1
🍤,0
🍥,-1
🍦,1
🍧,1
🍨,1
🍩,1
🍪,1
🍫,0
🍬,1
🍭,1
🍮,-1
🍯,0
🍰,1
🍱,-1
🍲,0
🍳,0
🍴,1
🍵,1
🍶,1
🍷,1
🍸,1
🍹,1
🍺,1
🍻,1
🍼,1
🍽,0
🍾,0
🍿,0
🎀,1
🎁,1
🎂,1
🎃,1
🎄,1
🎅,1
🎈,1
🎉,1
🎊,1
🎋,1
🎍,0
🎎,1
🎏,0
🎐,1
🎒,1
🎓,1
🎖,0
🎗,0
🎙,0
🎚,0
🎛,0
🎞,0
🎟,0
🎣,-1
🎤,1
🎥,1
🎦,0
🎧,1
🎨,1
🎩,1
🎪,1
🎫,0
🎬,1
🎭,0
🎮,1
🎯,1
🎰,-1
🎱,1
🎲,0
🎳,-1
🎴,0
🎵,1
🎶,1
🎷,1
🎸,1
🎹,1
🎺,1
🎻,1
🎼,1
🎽,1
🎾,1
🎿,1
🏀,1
🏂,1
🏃,1
🏃‍♀,0
🏄,1
🏄‍♀,0
🏅,0
🏆,1
🏇,-1
🏈,1
🏉,1
🏊,1
🏊‍♀,0
🏋,0
🏋‍♀,0
🏌,0
🏌‍♀,0
🏏,0
🏐,0
🏑,0
🏒,0
🏓,0
🏧,1
🏮,0
🏵,0
🏷,0
🏸,0
🏹,0
🏺,0
🐀,0
🐁,-1
🐂,0
🐃,0
🐄,1
🐅,1
🐆,1
🐇,1
🐈,1
🐉,1
🐊,0
🐋,-1
🐌,1
🐍,1
🐎,1
🐏,1
🐐,1
🐑,-1
🐒,1
🐓,0
🐔,-1
🐕,1
🐖,0
🐗,1
🐘,0
🐙,1
🐚,1
🐛,1
🐜,1
🐝,1
🐞,1
🐟,1
🐠,1
🐡,1
🐢,1
🐣,1
🐤,1
🐥,1
🐦,1
🐧,1
🐨,1
🐩,1
🐪,1
🐫,1
🐬,1
